#     S_Distr        Radius
  3.315190000   3.315190000
  3.322510000   3.322510000
  3.329820000   3.329820000
  3.337130000   3.337130000
  3.344450000   3.344450000
  3.351760000   3.351760000
  3.359070000   3.359070000
  3.366390000   3.366390000
  3.373700000   3.373700000
  3.381020000   3.381020000
  3.388330000   3.388330000
  3.395640000   3.395640000
  3.402960000   3.402960000
  3.410270000   3.410270000
  3.417580000   3.417580000
  3.424900000   3.424900000
  3.432210000   3.432210000
  3.439520000   3.439520000
  3.446840000   3.446840000
  3.454150000   3.454150000
  3.461460000   3.461460000
  3.468780000   3.468780000
  3.476090000   3.476090000
  3.483410000   3.483410000
  3.490720000   3.490720000
  3.498030000   3.498030000
  3.505350000   3.505350000
  3.512660000   3.512660000
  3.519970000   3.519970000
  3.527290000   3.527290000
  3.534600000   3.534600000
  3.541910000   3.541910000
  3.549230000   3.549230000
  3.556540000   3.556540000
  3.563860000   3.563860000
  3.571170000   3.571170000
  3.578480000   3.578480000
  3.585800000   3.585800000
  3.593110000   3.593110000
  3.600420000   3.600420000
  3.607740000   3.607740000
  3.615050000   3.615050000
  3.622360000   3.622360000
  3.629680000   3.629680000
  3.636990000   3.636990000
  3.644310000   3.644310000
  3.651620000   3.651620000
  3.658930000   3.658930000
  3.666250000   3.666250000
  3.673560000   3.673560000
  3.680870000   3.680870000
  3.688190000   3.688190000
  3.695500000   3.695500000
  3.702810000   3.702810000
  3.710130000   3.710130000
  3.717440000   3.717440000
  3.724760000   3.724760000
  3.732070000   3.732070000
  3.739380000   3.739380000
  3.746700000   3.746700000
  3.754010000   3.754010000
  3.761320000   3.761320000
  3.768640000   3.768640000
  3.775950000   3.775950000
  3.783260000   3.783260000
  3.790580000   3.790580000
  3.797890000   3.797890000
  3.805210000   3.805210000
  3.812520000   3.812520000
  3.819830000   3.819830000
  3.827150000   3.827150000
  3.834460000   3.834460000
  3.841770000   3.841770000
  3.849090000   3.849090000
  3.856400000   3.856400000
  3.863710000   3.863710000
  3.871030000   3.871030000
  3.878340000   3.878340000
  3.885660000   3.885660000
  3.892970000   3.892970000
  3.900280000   3.900280000
  3.907600000   3.907600000
  3.914910000   3.914910000
  3.922220000   3.922220000
  3.929540000   3.929540000
  3.936850000   3.936850000
  3.944160000   3.944160000
  3.951480000   3.951480000
  3.958790000   3.958790000
  3.966110000   3.966110000
  3.973420000   3.973420000
  3.980730000   3.980730000
  3.988050000   3.988050000
  3.995360000   3.995360000
  4.002670000   4.002670000
  4.009990000   4.009990000
  4.017300000   4.017300000
  4.024610000   4.024610000
  4.031930000   4.031930000
  4.039240000   4.039240000
  4.046560000   4.046560000
  4.053870000   4.053870000
  4.061180000   4.061180000
  4.068500000   4.068500000
  4.075810000   4.075810000
  4.083120000   4.083120000
  4.090440000   4.090440000
  4.097750000   4.097750000
  4.105060000   4.105060000
  4.112380000   4.112380000
  4.119690000   4.119690000
  4.127010000   4.127010000
  4.134320000   4.134320000
  4.141630000   4.141630000
  4.148950000   4.148950000
  4.156260000   4.156260000
  4.163570000   4.163570000
  4.170890000   4.170890000
  4.178200000   4.178200000
  4.185510000   4.185510000
  4.192830000   4.192830000
  4.200140000   4.200140000
  4.207450000   4.207450000
  4.214770000   4.214770000
  4.222080000   4.222080000
  4.229400000   4.229400000
  4.236710000   4.236710000
  4.244020000   4.244020000
  4.251340000   4.251340000
  4.258650000   4.258650000
  4.265960000   4.265960000
  4.273280000   4.273280000
  4.280590000   4.280590000
  4.287900000   4.287900000
  4.295220000   4.295220000
  4.302530000   4.302530000
  4.309850000   4.309850000
  4.317160000   4.317160000
  4.324470000   4.324470000
  4.331790000   4.331790000
  4.339100000   4.339100000
  4.346410000   4.346410000
  4.353730000   4.353730000
  4.361040000   4.361040000
  4.368350000   4.368350000
  4.375670000   4.375670000
  4.382980000   4.382980000
  4.390300000   4.390300000
  4.397610000   4.397610000
  4.404920000   4.404920000
  4.412240000   4.412240000
  4.419550000   4.419550000
  4.426860000   4.426860000
  4.434180000   4.434180000
  4.441490000   4.441490000
  4.448800000   4.448800000
  4.456120000   4.456120000
  4.463430000   4.463430000
  4.470750000   4.470750000
  4.478060000   4.478060000
  4.485370000   4.485370000
  4.492690000   4.492690000
  4.500000000   4.500000000
